customer_tweet_id,brand_tweet_id,customer_text_raw,customer_text,brand_text_raw,brand_text,links,brand,created_at_customer,created_at_brand
617,615,Way to drop the ball on customer service @115821 so pissed right now!,Way to drop the ball on customer service so pissed right now!,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN","I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help.",,AmazonHelp,Tue Oct 31 22:16:32 +0000 2017,Tue Oct 31 22:29:00 +0000 2017
616,618,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day","3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN,https://t.co/hApLpMlfHN,AmazonHelp,Tue Oct 31 23:22:08 +0000 2017,Tue Oct 31 23:28:00 +0000 2017
621,620,@115823 I want my amazon payments account CLOSED.  dm me please.,I want my amazon payments account CLOSED. dm me please.,"@115822 I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN ^CH","I am unable to affect your account via Twitter. For real time support, phone or chat use this link: https://t.co/hApLpMlfHN",https://t.co/hApLpMlfHN,AmazonHelp,Tue Oct 31 22:19:34 +0000 2017,Tue Oct 31 22:28:34 +0000 2017
628,626,@115828 How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date.,,AmazonHelp,Tue Oct 31 21:57:24 +0000 2017,Tue Oct 31 22:28:00 +0000 2017
627,629,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,@115827 Thanks for your patience. ^KM,Thanks for your patience.,,AmazonHelp,Wed Nov 01 12:50:18 +0000 2017,Wed Nov 01 12:53:34 +0000 2017
632,631,"@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97.
You need better delivery drivers!! https://t.co/f6SaVBSMqM",my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! https://t.co/f6SaVBSMqM,@115829 I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B,https://t.co/JzP7hlA23B,AmazonHelp,Tue Oct 31 21:34:58 +0000 2017,Tue Oct 31 22:27:00 +0000 2017
634,633,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B,https://t.co/JzP7hlA23B,AmazonHelp,Tue Oct 31 21:39:58 +0000 2017,Tue Oct 31 22:26:37 +0000 2017
636,635,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043","Thanks for the style advice, look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",@115832 Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,Alexa says both styles are working for you! My vote goes to the Flamingo look!,,AmazonHelp,Tue Oct 31 22:05:36 +0000 2017,Tue Oct 31 22:26:07 +0000 2017
638,637,@AmazonHelp Hi ready for some help,Hi ready for some help,@115834 Were you able to reach us at the link DW provided? ^TR,Were you able to reach us at the link DW provided?,,AmazonHelp,Tue Oct 31 22:19:56 +0000 2017,Tue Oct 31 22:26:07 +0000 2017
640,639,@AmazonHelp Is the Echo Show no longer supported?,Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN",https://t.co/hApLpMlfHN,AmazonHelp,Tue Oct 31 01:03:01 +0000 2017,Tue Oct 31 01:09:35 +0000 2017
643,642,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?","Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES",https://t.co/a31c4ynHES,AmazonHelp,Mon Oct 30 23:44:45 +0000 2017,Tue Oct 31 00:52:39 +0000 2017
646,644,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B,https://t.co/JzP7hlA23B,AmazonHelp,Tue Oct 31 21:40:30 +0000 2017,Tue Oct 31 22:25:27 +0000 2017
645,647,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,You can also request a call back here Martin https://t.co/zH8UlhTGcc,https://t.co/zH8UlhTGcc,AmazonHelp,Wed Nov 01 08:04:52 +0000 2017,Wed Nov 01 08:11:34 +0000 2017
649,648,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K","In response to your packing video, this packaging was for a 2ft washing line pole https://t.co/X21SQHgC0K",@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.,https://t.co/PMiShxgPvp,AmazonHelp,Tue Oct 31 22:17:47 +0000 2017,Tue Oct 31 22:24:47 +0000 2017
652,650,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN,https://t.co/hApLpMlfHN,AmazonHelp,Tue Oct 31 22:11:15 +0000 2017,Tue Oct 31 22:24:47 +0000 2017
651,653,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL","Is there a current order you're having difficulties with? Please let us know, we'd like to help!",,AmazonHelp,Tue Oct 31 22:25:58 +0000 2017,Tue Oct 31 22:52:02 +0000 2017
654,655,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback.,https://t.co/6f6cWZv7vm,AmazonHelp,Tue Oct 31 22:53:50 +0000 2017,Tue Oct 31 23:07:33 +0000 2017
657,656,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.","Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,Let us know if there’s anything else we can do for you! We're happy to help out any way we can!,,AmazonHelp,Tue Oct 31 22:18:42 +0000 2017,Tue Oct 31 22:21:10 +0000 2017
659,658,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF,https://t.co/zRrkpVcaDF,AmazonHelp,Tue Oct 31 22:02:14 +0000 2017,Tue Oct 31 22:11:00 +0000 2017
664,663,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B We're unable to view order details via Twitter.,https://t.co/JzP7hlA23B,AmazonHelp,Tue Oct 31 21:50:49 +0000 2017,Tue Oct 31 22:20:34 +0000 2017
667,665,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su","Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,You're not lion! She even shows witch way is up! That's quite the wardrobe!,,AmazonHelp,Tue Oct 31 22:11:10 +0000 2017,Tue Oct 31 22:19:29 +0000 2017
670,668,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B & we'll be glad to help!,https://t.co/JzP7hlA23B,AmazonHelp,Tue Oct 31 22:15:42 +0000 2017,Tue Oct 31 22:18:00 +0000 2017
676,675,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN,https://t.co/hApLpMlfHN,AmazonHelp,Tue Oct 31 21:39:25 +0000 2017,Tue Oct 31 22:17:27 +0000 2017
