task_id,customer_tweet_id,customer_text,historical_brand_reply,assigned_intent,assigned_action,escalation_reason,annotator_id,annotation_status
human_task_001,247008,Hmm ..it's getting worked upon from last 5 days..nothing is being done though,"My apologies for the delay, Harish. We have received your details and will get back to you at the earliest.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_002,147332,Thanks for delivering it a day early. 😊 #superexicted,You just reminded us of this person. :) We appreciate your kind words. ^KH https://t.co/0x3HU97Fq1,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_003,108081,I’ve plugged in the tv bit and now put the batteries in the remote but nothing is happening. The remote is dead.,"Thanks for the update, Charlotte! You may want to check that the Micro-USB power cable is fully connected on the Fire TV Stick. If you've got it connected directly to a USB port on the TV, please try the wall adapter as it may not be getting enough power.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_004,219191,contacted chat Service to ask why I can't 'return' Prime reading library books.They can't help without my address.,"Thanks for reaching out to us. To clarify, are you referring to returning Prime Reading titles: https://t.co/oFcxUlFpzK?",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_005,162052,"It's saying dispatched, but it said that on Wednesday ( original delivery date) then we were told b4 12 yesterday and same today. Nothing","I understand your concern. At your convenience, give us a shout here: https://t.co/JzP7hlA23B We'd be happy to assist with your order in real-time.",REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_006,86200,Yo IntelCom as a courier = #FAIL Delivery was very late so missed. No answer + site tracking broken. We want our shipment!,Sorry to hear you've had a negative experience Philip. Can I ask what the latest tracking update has been? You can check here: https://t.co/PyACxvY8Qo.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_007,286820,"If u guys cant deliver, why do u guy launch big sales and enjoy money of your customers....Where is my order 408-3375954-2174708 even after 15 days now????",Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. (2/2),REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_008,101759,Not a great collection when compared to others. Couldn't find anything. That's y i asked for an update to the collection. Specially woolen sweaters.,I've noted your comments Ashutosh and will be sure to forward this as a feedback internally.,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_009,170965,Is this a joke? I come home to an empty box ! WTF!!! https://t.co/zEh2VlLr67,I'm sorry for the trouble with your delivery. This is not what we want to see and we'll do all we can to help! Please call or chat in so we can look at available options together here: https://t.co/hApLpMlfHN,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
human_task_010,219515,why do I never get size 12 clogs below 1000? Ik i have huge feet but its really disheartening to see the options I have😣,you have mentioned. I'd suggest that you check our website from (2/3),REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,REQUIRES HUMAN ANNOTATION,PENDING_ASSIGNMENT,REQUIRES HUMAN ANNOTATION
